[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@13d21f47: SELECT * FROM code_library WHERE code_delete = 0 AND code_id > 1 ORDER BY code_id LIMIT 1 ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@3fc4a2b0: SELECT count(*) as count FROM code_library WHERE code_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@6e0a1aeb: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:51,051> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@7f60ebb3: SELECT category_id, category_name, COUNT(*) AS category_num FROM article_category LEFT JOIN code_library ON code_delete = 0 AND category_id = code_category WHERE code_category IS NOT NULL GROUP BY category_id, category_name ORDER BY category_id ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:55,055> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@68138329: SELECT code_id, code_title, code_date, code_author, code_summary, code_read, code_html_content, user_nick_name FROM code_library, user_info WHERE code_delete = 0 AND code_author = user_name ORDER BY code_date DESC LIMIT 3 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:55,055> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@7d3cfd4d: SELECT blog_id, blog_title, blog_date, blog_author, blog_summary, blog_read, blog_html_content, user_nick_name FROM blog_details, user_info WHERE blog_delete = 0 AND blog_author = user_name ORDER BY blog_date DESC LIMIT 3 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:01:55,055> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@77d59fee: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:01:57,057> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@46320d5e: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:02:00,000> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@71bd0317: SELECT count(*) as count FROM blog_details WHERE blog_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
[INFO ] <2026-05-18 15:02:00,000> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanListByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@71e29eca: SELECT blog_id, blog_title, blog_date, blog_author, blog_summary, blog_read, blog_html_content, user_nick_name FROM blog_details, user_info WHERE blog_delete = 0 AND blog_author = user_name ORDER BY blog_date DESC LIMIT 5 OFFSET 0 ---| click goto-> (DbQueryUtils.java:50)
[INFO ] <2026-05-18 15:02:00,000> at [pers.husen.web.dbutil.DbQueryUtils.queryBeanByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@6740ead3: SELECT release_author, release_date, release_number, release_content, release_id FROM release_feature WHERE release_id = (SELECT max(release_id) FROM release_feature) ---| click goto-> (DbQueryUtils.java:79)
[INFO ] <2026-05-18 15:02:00,000> at [pers.husen.web.dbutil.DbQueryUtils.queryResultByParam] |--- com.mysql.jdbc.JDBC42PreparedStatement@2b2d0076: SELECT count(*) as count FROM blog_details WHERE blog_delete = 0 ---| click goto-> (DbQueryUtils.java:131)
